logtime,scenario_time,type,module,address,value
452.190025,0,version,,,1.4.5
452.190105,0,scenario_path,,,includes/scenarios/transparency_transparent.txt
452.190377,0,seed_value,communications,,8
452.190385,0,seed_output,communications,,HLM230
452.190435,0,seed_value,communications,,10
452.190441,0,seed_output,communications,,SBN790
452.190484,0,seed_value,communications,,12
452.19049,0,seed_output,communications,,PIV852
452.190532,0,seed_value,communications,,14
452.190538,0,seed_output,communications,,DTW834
452.190579,0,seed_value,communications,,16
452.190584,0,seed_output,communications,,LPP463
452.190622,0,seed_value,communications,,17
452.190626,0,seed_output,communications,,QNZ454
452.190663,0,seed_value,communications,,18
452.190669,0,seed_output,communications,,FDV753
452.190708,0,seed_value,communications,,20
452.190714,0,seed_output,communications,,XVZ241
452.19073,0,seed_value,communications,,6
452.190734,0,seed_output,communications,,131.006862
452.190746,0,seed_value,communications,,7
452.19075,0,seed_output,communications,,117.39115
452.19076,0,seed_value,communications,,8
452.190764,0,seed_output,communications,,114.57447
452.190774,0,seed_value,communications,,9
452.190778,0,seed_output,communications,,121.427213
453.260343,0,dialog,,,OpenMATB end
453.287765,0.00829,aoi,sysmon,foreground,"(0, 1140.0, 576, 600.0)"
453.287804,0.00829,aoi,sysmon,overdue,"(0, 1140.0, 576, 600.0)"
453.304927,0.00829,aoi,sysmon,task_title,"(0, 1200.0, 576, 1140.0)"
453.305118,0.00829,aoi,sysmon,automode,"(244.8, 658.5, 331.2, 628.5)"
453.307816,0.00829,aoi,sysmon,scale1,"(43.2, 951.0, 100.80000000000001, 681.0)"
453.311125,0.00829,aoi,sysmon,scale2,"(187.2, 951.0, 244.79999999999998, 681.0)"
453.311502,0.00829,aoi,sysmon,scale3,"(331.2, 951.0, 388.8, 681.0)"
453.313598,0.00829,aoi,sysmon,scale4,"(475.2, 951.0, 532.8, 681.0)"
453.316597,0.00829,aoi,sysmon,light1,"(28.799999999999997, 1086.0, 259.2, 1005.0)"
453.318382,0.00829,aoi,sysmon,light2,"(316.8, 1086.0, 547.2, 1005.0)"
453.318404,0.00829,parameter,sysmon,title,System monitoring
453.318411,0.00829,parameter,sysmon,taskplacement,topleft
453.318416,0.00829,parameter,sysmon,taskupdatetime,200
453.318422,0.00829,parameter,sysmon,taskfeedback-overdue-active,0
453.318428,0.00829,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
453.318433,0.00829,parameter,sysmon,taskfeedback-overdue-delayms,2000
453.318438,0.00829,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
453.318442,0.00829,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
453.318446,0.00829,parameter,sysmon,taskfeedback-overdue-_is_visible,0
453.318453,0.00829,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x70d42c449930>
453.31846,0.00829,parameter,sysmon,alerttimeout,10000
453.318464,0.00829,parameter,sysmon,automaticsolver,0
453.318469,0.00829,parameter,sysmon,automaticsolverdelay,1000
453.318473,0.00829,parameter,sysmon,displayautomationstate,1
453.318477,0.00829,parameter,sysmon,allowanykey,0
453.318482,0.00829,parameter,sysmon,allowmanualoverride,0
453.318486,0.00829,parameter,sysmon,feedbackduration,1500
453.318491,0.00829,parameter,sysmon,feedbacks-positive-active,1
453.318496,0.00829,parameter,sysmon,feedbacks-positive-color,"(142, 219, 176, 255)"
453.318501,0.00829,parameter,sysmon,feedbacks-negative-active,1
453.318505,0.00829,parameter,sysmon,feedbacks-negative-color,"(241, 100, 100, 255)"
453.318511,0.00829,parameter,sysmon,lights-1-name,F5
453.318515,0.00829,parameter,sysmon,lights-1-failure,0
453.31852,0.00829,parameter,sysmon,lights-1-default,on
453.318524,0.00829,parameter,sysmon,lights-1-oncolor,"(142, 219, 176, 255)"
453.318528,0.00829,parameter,sysmon,lights-1-key,F5
453.318532,0.00829,parameter,sysmon,lights-1-on,1
453.318537,0.00829,parameter,sysmon,lights-1-_failuretimer,
453.318541,0.00829,parameter,sysmon,lights-1-_onfailure,0
453.318545,0.00829,parameter,sysmon,lights-1-_milliresponsetime,0
453.318551,0.00829,parameter,sysmon,lights-1-_freezetimer,
453.318556,0.00829,parameter,sysmon,lights-1-widget,<core.widgets.light.Light object at 0x70d411835de0>
453.318561,0.00829,parameter,sysmon,lights-2-name,F6
453.318565,0.00829,parameter,sysmon,lights-2-failure,0
453.318569,0.00829,parameter,sysmon,lights-2-default,off
453.318573,0.00829,parameter,sysmon,lights-2-oncolor,"(241, 100, 100, 255)"
453.318578,0.00829,parameter,sysmon,lights-2-key,F6
453.318582,0.00829,parameter,sysmon,lights-2-on,0
453.318586,0.00829,parameter,sysmon,lights-2-_failuretimer,
453.31859,0.00829,parameter,sysmon,lights-2-_onfailure,0
453.318594,0.00829,parameter,sysmon,lights-2-_milliresponsetime,0
453.318598,0.00829,parameter,sysmon,lights-2-_freezetimer,
453.318602,0.00829,parameter,sysmon,lights-2-widget,<core.widgets.light.Light object at 0x70d4118377f0>
453.318608,0.00829,parameter,sysmon,scales-1-name,F1
453.318612,0.00829,parameter,sysmon,scales-1-failure,0
453.318616,0.00829,parameter,sysmon,scales-1-side,0
453.31862,0.00829,parameter,sysmon,scales-1-key,F1
453.318624,0.00829,parameter,sysmon,scales-1-_failuretimer,
453.318628,0.00829,parameter,sysmon,scales-1-_onfailure,0
453.318632,0.00829,parameter,sysmon,scales-1-_milliresponsetime,0
453.318636,0.00829,parameter,sysmon,scales-1-_freezetimer,
453.31864,0.00829,parameter,sysmon,scales-1-_pos,5
453.318644,0.00829,parameter,sysmon,scales-1-_zone,0
453.318649,0.00829,parameter,sysmon,scales-1-_feedbacktimer,
453.318653,0.00829,parameter,sysmon,scales-1-_feedbacktype,
453.318658,0.00829,parameter,sysmon,scales-1-widget,<core.widgets.scale.Scale object at 0x70d42c4e5390>
453.318663,0.00829,parameter,sysmon,scales-2-name,F2
453.318667,0.00829,parameter,sysmon,scales-2-failure,0
453.318671,0.00829,parameter,sysmon,scales-2-side,0
453.318675,0.00829,parameter,sysmon,scales-2-key,F2
453.318679,0.00829,parameter,sysmon,scales-2-_failuretimer,
453.318683,0.00829,parameter,sysmon,scales-2-_onfailure,0
453.318687,0.00829,parameter,sysmon,scales-2-_milliresponsetime,0
453.318691,0.00829,parameter,sysmon,scales-2-_freezetimer,
453.318695,0.00829,parameter,sysmon,scales-2-_pos,5
453.318699,0.00829,parameter,sysmon,scales-2-_zone,0
453.318703,0.00829,parameter,sysmon,scales-2-_feedbacktimer,
453.318707,0.00829,parameter,sysmon,scales-2-_feedbacktype,
453.318711,0.00829,parameter,sysmon,scales-2-widget,<core.widgets.scale.Scale object at 0x70d42c4e6110>
453.318715,0.00829,parameter,sysmon,scales-3-name,F3
453.318719,0.00829,parameter,sysmon,scales-3-failure,0
453.318723,0.00829,parameter,sysmon,scales-3-side,0
453.318727,0.00829,parameter,sysmon,scales-3-key,F3
453.318731,0.00829,parameter,sysmon,scales-3-_failuretimer,
453.318735,0.00829,parameter,sysmon,scales-3-_onfailure,0
453.318739,0.00829,parameter,sysmon,scales-3-_milliresponsetime,0
453.318743,0.00829,parameter,sysmon,scales-3-_freezetimer,
453.318747,0.00829,parameter,sysmon,scales-3-_pos,5
453.318751,0.00829,parameter,sysmon,scales-3-_zone,0
453.318754,0.00829,parameter,sysmon,scales-3-_feedbacktimer,
453.318758,0.00829,parameter,sysmon,scales-3-_feedbacktype,
453.318762,0.00829,parameter,sysmon,scales-3-widget,<core.widgets.scale.Scale object at 0x70d42c4e74f0>
453.31877,0.00829,parameter,sysmon,scales-4-name,F4
453.318774,0.00829,parameter,sysmon,scales-4-failure,0
453.318778,0.00829,parameter,sysmon,scales-4-side,0
453.318782,0.00829,parameter,sysmon,scales-4-key,F4
453.318786,0.00829,parameter,sysmon,scales-4-_failuretimer,
453.31879,0.00829,parameter,sysmon,scales-4-_onfailure,0
453.318794,0.00829,parameter,sysmon,scales-4-_milliresponsetime,0
453.318798,0.00829,parameter,sysmon,scales-4-_freezetimer,
453.318802,0.00829,parameter,sysmon,scales-4-_pos,5
453.318807,0.00829,parameter,sysmon,scales-4-_zone,0
453.318811,0.00829,parameter,sysmon,scales-4-_feedbacktimer,
453.318815,0.00829,parameter,sysmon,scales-4-_feedbacktype,
453.318818,0.00829,parameter,sysmon,scales-4-widget,<core.widgets.scale.Scale object at 0x70d4118349a0>
453.319343,0.00829,state,sysmon,"foreground, visibility",1
453.320101,0.00829,state,sysmon,"overdue, visibility",1
453.322502,0.00829,state,sysmon,"foreground, visibility",0
453.322525,0.00829,state,sysmon,"overdue, visibility",0
453.322539,0.00829,event,sysmon,self,start
453.514738,0.00829,dialog,,,Warning end
453.514935,0.017156,seed_value,sysmon,,9
453.514946,0.017156,seed_output,sysmon,,1
453.514962,0.017156,seed_value,sysmon,,10
453.514967,0.017156,seed_output,sysmon,,-1
453.514981,0.017156,seed_value,sysmon,,11
453.514986,0.017156,seed_output,sysmon,,1
453.514998,0.017156,seed_value,sysmon,,12
453.515003,0.017156,seed_output,sysmon,,1
453.52475,0.017156,state,sysmon,"automode, text",MANUAL
453.524841,0.017156,state,sysmon,"scale1, arrow",6
453.524857,0.017156,state,sysmon,"scale2, arrow",4
453.524868,0.017156,state,sysmon,"scale3, arrow",6
453.524877,0.017156,state,sysmon,"scale4, arrow",6
453.525043,0.017156,aoi,track,foreground,"(576, 1140.0, 1248, 600.0)"
453.525073,0.017156,aoi,track,overdue,"(576, 1140.0, 1248, 600.0)"
453.529992,0.017156,aoi,track,task_title,"(576, 1200.0, 1248, 1140.0)"
453.530324,0.017156,aoi,track,automode,"(775.9200000000001, 687.0, 876.72, 657.0)"
453.530461,0.017156,aoi,track,reticle,"(696.0, 1086.0, 1128.0, 654.0)"
453.53048,0.017156,parameter,track,title,Tracking
453.530487,0.017156,parameter,track,taskplacement,topmid
453.530493,0.017156,parameter,track,taskupdatetime,20
453.530501,0.017156,parameter,track,taskfeedback-overdue-active,0
453.530507,0.017156,parameter,track,taskfeedback-overdue-color,"(241, 100, 100, 255)"
453.530513,0.017156,parameter,track,taskfeedback-overdue-delayms,2000
453.530518,0.017156,parameter,track,taskfeedback-overdue-blinkdurationms,1000
453.530523,0.017156,parameter,track,taskfeedback-overdue-_nexttoggletime,0
453.530528,0.017156,parameter,track,taskfeedback-overdue-_is_visible,0
453.530533,0.017156,parameter,track,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x70d42c46c2e0>
453.53054,0.017156,parameter,track,cursorcolor,"(50, 50, 50, 255)"
453.530545,0.017156,parameter,track,cursorcoloroutside,"(241, 100, 100, 255)"
453.530551,0.017156,parameter,track,automaticsolver,0
453.530555,0.017156,parameter,track,displayautomationstate,1
453.53056,0.017156,parameter,track,targetproportion,0.25
453.530565,0.017156,parameter,track,joystickforce,1
453.53057,0.017156,parameter,track,inverseaxis,0
